No.,authors,title,year,vol,no,fpage,doi,authors,article title,journal title,year,vol,no,fpage,doi
1,"Min Hyok Hwang, Yun Kyu Lee, Jae Su Kim, Hyun Jong Lee, Sung Chul Lim",A Clinical Case Study of a Patient with Complex Regional Pain Syndrome (CRPS) Type Ⅰ Treated by 8 Constitution Acupuncture,2016,33,3,181,10.13045/acupunct.2016045,"Ho Sun Kim, Young Hyun Bae, Hae Sol Kim, Chang Yong Suh, No Hyeon Kim, Kyu Jin Yang, Gi Bum Lee",Review of Research on the Effects of Acupuncture and Moxibustion Treatment to Complex Regional Pain Syndromes,The Acupuncture,2016,33,4,137,10.13045/acupunct.2016061
2,"Soo Hyeong Ryu, Su Yeon Lee, Hong Guk Kim, Dek Woo Ryoo, Sung Jin Kim, Seong Mok Jeong, Seung Won Baek, Bon Hyuk Goo, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Sang Soo Nam, Yong Hyeon Baek",Preliminary Study to Develop an Objective Method for Evaluating Facial Palsy Sequelae Using Facial Scanning System,2016,33,3,89,10.13045/acupunct.2016037,"Ji Sun Han, Min Soo Kwon, Jung Hwan Kim, Dae Hyun Jo, Hee Jin Jo, Ji Eun Choi, Ji Hye Kim, Hyun Ho Kim, Sang Hoon Lee, Young Jae Park, Young Bae Park",The Application State of the Sunnybrook Facial Grading System for Facial Palsy Patients : A retrospective study,The Acupuncture,2016,33,4,101,10.13045/acupunct.2016058
3,"Jung Hun Lee, Tae Jun Yang, Sang Jun Jeong, Tung Shuen Wei",Effects of Ukgansan Pharmacopuncture at GB20 on Cognitive Impariment Induced by Focal Brain Injury in Rats,2016,33,3,101,10.13045/acupunct.2016038,"Min Kyoung Hyun, Min Ju Mo, Doo Ree Hwang, Tae Jun Yang, Jung Hun Lee, Eun Ji Lee, Tae Kyung Yoon, Dae Hwan Youn",The Effects of Jodeungsan Pharmacopuncture at GB20 on Cognitive Impairment Induced by Focal Brain Injury in Rats,The Acupuncture,2016,33,4,49,10.13045/acupunct.2016054
4,"Gi Nam Park, So Yun Kim, Eun Seok Kim, Jung Ho Kim, Young Il Kim",The Effect of Complex Korean Medical Treatment on Spinal Cord Infarction: A Case Report,2016,33,2,189,10.13045/acupunct.2016028,"Da Hyun Kang, Myong Ah Lim, Hee Jung Lee, Doo Ri Kim, Jae Hyun Kang, So Yun Kim, In Yae Youn",A Case Report of a Central Pontine Myelinolysis Patient Treated with Korean and Western Medicine,The Acupuncture,2016,33,4,191,10.13045/acupunct.2016065
5,"Ki Wan Kang, Eui Byeol Kim, Min Ji Kim, In Soo Jang",Review of Acupuncture and Related Treatments and Classification of Hyperpigmentation Disorders in Traditional Medicine,2016,33,1,69,10.13045/acupunct.2016007,"Yu-Jin Jung, Woo-Shin Ko, Hwa-Jung Yoon",A Study on Correlation of Melanin & Pigmentation Disorder and Viscera and Bowels(臟腑),The Journal of Korean Medicine Ophthalmology and O,2016,29,3,27,10.6114/jkood.2016.29.3.027
6,"Se Jung Oh, Jae Soo Kim, Yun Kyu Lee, Hyun Jong Lee",Analgesic Effects of Pharmacopuncture at Taegye(KI3) Acupoint on Formalin-induced Pain,2016,33,1,37,10.13045/acupunct.2016004,"Chan-Young Kim, In Heo, Eui-Hyoung Hwang",Chuna Manual Therapy Combined Acupuncture for Trigeminal Neuralgia: A Systematic Review,Journal of Korean Medicine Rehabilitation,2016,26,4,37,10.18325/jkmr.2016.26.4.37
7,"Gee Won Yun, Hyun Lee, Yun Joo Kim, Jae Hui Kang",A Report on 6 cases of Abdominal Obesity using Electroacupuncture Combined with Magnetic Acupuncture,2015,32,4,213,10.13045/acupunct.2015076,"Seo Young Oh, Hyun Lee, Jae Hui Kang",전기와 자기장의 침 자극을 포함한 복합치료가 말초성 안면신경마비에 미치는 영향에 대한 관찰 연구,The Acupuncture,2016,33,3,117,10.13045/acupunct.2016039
8,"Gee Won Yun, Hyun Lee, Yun Joo Kim, Jae Hui Kang",A Report on 6 cases of Abdominal Obesity using Electroacupuncture Combined with Magnetic Acupuncture,2015,32,4,213,10.13045/acupunct.2015076,Jeong-Eun Yoo,The Effects of Wild Ginseng Complex Pharmacopuncture Combined with Hyperthermia on Abdominal Obesity in Post-Menopause Women: Case Report,Journal of Korean Medicine for Obesity Research,2016,16,2,133,10.15429/jkomor.2016.16.2.133
9,"Ji Su Kim, Yoo Jong Kim, Je Rak Hong, Min Chul Kim, Han Sol Park, Seh Young Kim, Young Woo Seo, Sang Min Lee, Young Hoon Seo, Ki Ok Kim, Tae Hun Kim",Effects of Integrative Korean Medical Treatment for a Failed Epidural Steroid Injections to L-spine Disk Herniation: A Retrospective Case Series,2015,32,4,203,10.13045/acupunct.2015075,"Hae Sol Kim, Young Hyun Bae, Ho Sun Kim, Chang Yong Suh, No Hyeon Kim, Gi Bum Lee, Kyu Jin Yang",Effects of Conservative Korean Traditional Medical Treatment on Lumbar Intervertebral Disc Herniation in 12 Adolescents: A Retrospective Study,The Acupuncture,2016,33,1,103,10.13045/acupunct.2016010
10,"Kyung Hwan Suk, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Hong Guk Kim, Dek Woo Ryoo, Bon Hyuk Goo, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Yong Hyeon Baek",Effectiveness of East-West collaborative hospital treatment on the prognosis of Bell’s palsy: A retrospective study,2015,32,4,167,10.13045/acupunct.2015071,"Hee Jin Jo, Min Soo Kwon, Jung Hwan Kim, Dae Hyun Jo, Ji Eun Choi, Ji Sun Han, Seung Hoon Lee, Yong Suk Kim, Sang Soo Nam",An Retrospective Analysis of 1549 patients under the Cooperative Medical Care consulted to the Department of Acupuncture and Moxibustion in a Korean medical hospital,The Acupuncture,2016,33,4,109,10.13045/acupunct.2016059
